	St	Ht	Vt	N
0	84.4384929327	4.44886109806	4.43602337503	15
1	66.7224325947	4.17885169803	4.20054121714	15
2	101.137688957	4.63001806675	4.61648284545	15
3	76.0641113289	4.31063037254	4.3315765548	15
4	84.9027163905	4.44411787296	4.44150608798	15
5	64.0445981555	4.13840740028	4.15957968686	15
6	114.868638755	4.73635694211	4.74378920377	15
7	149.496706254	4.98471066616	5.00727436084	15
8	125.694729698	4.86038187202	4.8338561871	15
9	115.475776359	4.72970618102	4.74906077947	15
10	157.012611167	5.04781654011	5.05632612803	15
11	117.323897	4.74931961053	4.7649384604	15
12	59.7469995858	4.11552653387	4.09011897341	15
13	83.2447434506	4.44278011481	4.42178498513	15
14	129.287580442	4.88424942378	4.8620392289	15
15	89.1747104259	4.52945755859	4.49059748398	15
16	72.3564049902	4.30582814658	4.28160397701	15
17	87.3692940045	4.48982583117	4.47014389375	15
18	101.623873779	4.60717681	4.62127848568	15
19	65.1051318494	4.19292063415	4.17600337636	15
20	198.161875755	5.26868584626	5.289084251	15
21	98.6644795959	4.56740361559	4.59172499915	15
22	53.9174764283	3.9883137515	3.98745466336	15
23	135.498136859	4.90757840308	4.90895789011	15
24	90.0011406682	4.46735953859	4.49982234434	15
25	119.157263269	4.74986315545	4.78044416073	15
26	88.4680422443	4.54083349724	4.48264138222	15
27	116.859960153	4.74041424114	4.76097629615	15
28	46.7771587424	3.83314407405	3.84539502272	15
29	119.385024916	4.79995492222	4.78235377363	15
30	85.1798836144	4.4316147196	4.44476529814	15
31	194.29294518	5.27360506722	5.26936704682	15
32	92.770336666	4.49757381583	4.5301269407	15
33	67.9042660614	4.23082504506	4.21809886118	15
34	123.607361409	4.83960457662	4.81711010158	15
35	90.6553307255	4.49456303957	4.50706474105	15
36	152.100194615	5.05621641333	5.02453947878	15
37	73.5184116233	4.36333340443	4.29753587313	15
38	65.8978335502	4.18177154251	4.18810556616	15
39	65.7838369494	4.19503152499	4.18637416909	15
40	103.458238658	4.68899195979	4.63916804005	15
41	117.205072052	4.77131921332	4.7639251531	15
42	74.0644972809	4.34587542544	4.30493629847	15
43	84.5650121731	4.4085897546	4.43752061338	15
44	154.0889465	5.04589396433	5.03753001035	15
45	88.2662439776	4.46357242558	4.48035774661	15
46	154.171102294	5.0280709598	5.03806303951	15
47	119.22504065	4.766445746	4.78101280514	15
48	94.0392258153	4.51250687858	4.54371199113	15
49	101.128673754	4.60081924036	4.61639370355	15
50	83.7019865326	4.43452070501	4.42726271118	15
51	123.650656189	4.81771083153	4.81746030078	15
52	77.1286491382	4.37594613328	4.3454747957	15
53	94.7613772339	4.57204475432	4.5513619131	15
54	61.18148531	4.15119831118	4.11384461613	15
55	85.6489345784	4.43046722643	4.45025678544	15
56	92.4466366908	4.51223418888	4.52663157741	15
57	94.2795757531	4.56573963653	4.5462645782	15
58	102.610773052	4.63654526579	4.63094292773	15
