	St	Ht	Vt	N
0	69.3943388019	-1.16142854228	0.0	15
1	64.6928171485	-5.42457225793	0.0	15
2	109.271865287	11.5532933534	9.27186528709	15
3	73.7769442273	-1.29949585884	0.0	15
4	64.9567191507	1.04945527336	0.0	15
5	132.716132745	37.3861920782	32.7161327449	15
6	152.804148228	52.7393763296	52.804148228	15
7	57.6137423336	-1.91055566684	0.0	15
8	144.554437219	45.5913068774	44.5544372188	15
9	57.5400307728	-2.85200582027	0.0	15
10	120.735037869	23.9329273078	20.7350378695	15
11	96.5906152459	1.03632280349	0.0	15
12	61.1467177073	-6.45029653727	0.0	15
13	102.249552806	4.45874669313	2.24955280633	15
14	123.315650659	24.2729516895	23.3156506595	15
15	117.576672857	13.4057462137	17.5766728566	15
16	81.0907974672	-1.23859724039	0.0	15
17	80.4292254214	-0.907351227781	0.0	15
18	132.340442912	34.0437484016	32.340442912	15
19	109.031818369	12.9636714978	9.03181836889	15
20	69.6153127625	-0.787336606931	0.0	15
21	106.225075447	7.73084852109	6.22507544692	15
22	160.593438669	58.9117417946	60.5934386686	15
23	60.4947321836	0.327738291731	0.0	15
24	108.010707508	11.683876546	8.01070750833	15
25	86.8664677598	0.38256012661	0.0	15
26	95.421871733	3.95354926042	0.0	15
27	80.2101253421	-2.27326981826	0.0	15
28	77.2458419845	-3.49267738515	0.0	15
29	77.1569209357	0.182013445178	0.0	15
30	182.548759209	83.2444637951	82.5487592089	15
31	56.5179449215	-1.8333091343	0.0	15
32	79.4871214004	1.21756009004	0.0	15
33	81.0109789487	-1.29144599404	0.0	15
34	64.5891417712	-6.72971195286	0.0	15
35	53.933307505	-1.34240087157	0.0	15
36	191.905072605	94.8312478714	91.9050726046	15
37	140.196661687	43.7402229488	40.196661687	15
38	174.465057	74.5358437916	74.4650569998	15
39	98.5607743417	7.32260292792	0.0	15
40	92.2844788751	2.38496914055	0.0	15
41	55.7272937212	-4.34045452165	0.0	15
42	114.757113221	14.0764925405	14.757113221	15
43	64.3022235278	1.71128872734	0.0	15
44	62.2309609324	-0.183335653563	0.0	15
45	115.649646988	13.4459125995	15.6496469878	15
46	105.742697957	10.5833274493	5.74269795693	15
47	97.5663319117	-0.360494667729	0.0	15
48	116.678207838	18.7251296181	16.6782078382	15
49	130.298790557	29.5213383244	30.2987905566	15
50	82.5802595566	1.37481419267	0.0	15
51	73.0354052011	1.69232078121	0.0	15
52	57.547382332	0.224870490566	0.0	15
53	65.824426247	-2.34130562083	0.0	15
54	151.527657407	48.969923064	51.5276574066	15
55	107.128009602	6.95366760477	7.12800960166	15
56	222.319118883	119.523551421	122.319118883	15
57	140.585721847	41.5549399981	40.585721847	15
58	65.1448357401	0.738164819356	0.0	15
59	148.450877479	50.0913316325	48.4508774786	15
60	193.299920996	94.356412488	93.2999209957	15
61	75.015909886	-0.0490625445466	0.0	15
62	63.6960785274	-0.68326915723	0.0	15
63	88.9536566502	-5.10038609346	0.0	15
64	89.9481578439	-0.164637671917	0.0	15
65	65.9700988331	3.18571747298	0.0	15
66	166.536822418	68.071489889	66.5368224178	15
67	109.489122565	10.6383742663	9.48912256491	15
68	74.8288319078	0.497587245138	0.0	15
69	120.080317656	23.5733055823	20.0803176556	15
70	131.615203795	33.3795299039	31.6152037953	15
71	95.9422394821	2.20894235897	0.0	15
72	97.8511658685	4.89454354299	0.0	15
73	73.8670158317	-5.00237100161	0.0	15
74	73.1412867018	-0.931892828226	0.0	15
75	96.6278406719	3.45250543218	0.0	15
76	98.1133383645	-0.23745243988	0.0	15
77	148.15728239	48.3592385635	48.1572823901	15
78	129.473895419	33.9826570125	29.4738954188	15
79	110.260680891	8.78634363365	10.2606808912	15
80	145.008466237	43.7179484764	45.0084662367	15
