	St	Ht	Vt	N
0	102.135854622	0.648293948177	1.0	15
1	129.615883378	1.11077850061	1.0	15
2	146.262842748	0.981164596864	1.0	15
3	140.259221796	0.996269836827	1.0	15
4	139.260738867	0.974704132405	1.0	15
5	90.9443507483	0.233458601942	0.0	15
6	147.411265853	1.17855655016	1.0	15
7	133.681308312	1.02189489271	1.0	15
8	103.323724783	0.911733711936	1.0	15
9	108.496583455	0.698091875737	1.0	15
10	90.5372071841	0.500455409696	0.0	15
11	43.0540101437	-0.0371627521827	0.0	15
12	123.572496022	1.00531704784	1.0	15
13	72.2877558831	-0.0133310407111	0.0	15
14	71.5972207669	0.0340267538235	0.0	15
15	137.688276228	1.19778658683	1.0	15
16	138.72155581	0.8820188453	1.0	15
17	61.2802327617	0.110120490676	0.0	15
18	103.105032908	0.475578616508	1.0	15
19	145.166247693	0.88195146229	1.0	15
20	122.123931274	1.11785654417	1.0	15
21	159.030563085	1.03481139048	1.0	15
22	65.2604629676	0.0519157328809	0.0	15
23	73.1033056399	-0.180467814408	0.0	15
24	83.4166075875	-0.0447899062403	0.0	15
25	104.611214113	0.593223053704	1.0	15
26	90.1218218951	0.136461452994	0.0	15
27	93.1720444092	0.283436221504	0.0	15
28	136.308368622	1.02014025302	1.0	15
29	68.1313619402	0.0755091509489	0.0	15
30	96.9354887166	0.414271619382	0.0	15
31	184.908902094	1.01002566357	1.0	15
32	80.6414187998	0.0440751650899	0.0	15
33	144.457250523	0.996350815782	1.0	15
34	99.0942665536	0.379679785708	0.0	15
35	124.279629218	0.906263119778	1.0	15
36	120.122757741	0.914492664931	1.0	15
37	87.3084728595	0.0442811297737	0.0	15
38	104.958176662	0.635472801171	1.0	15
39	63.3766433226	0.0218859884528	0.0	15
40	120.471408986	1.03006722323	1.0	15
41	117.998602374	0.836379272719	1.0	15
42	152.472491352	1.00555494016	1.0	15
43	44.3124887975	-0.00267956356852	0.0	15
44	50.7844818595	-0.00965789920063	0.0	15
45	87.023135107	-0.0479436855545	0.0	15
46	187.526640894	0.944751839404	1.0	15
47	156.256321701	0.955641757572	1.0	15
48	64.2154006596	0.0637001063247	0.0	15
49	120.282042407	1.00669238407	1.0	15
50	102.888659665	0.70064428769	1.0	15
51	150.865936615	0.967415445467	1.0	15
52	96.3976833111	0.48783407602	0.0	15
53	94.7653585423	0.237511518653	0.0	15
54	105.420320342	0.813048738949	1.0	15
55	88.0974355898	0.385410760669	0.0	15
56	118.981922659	0.969330735735	1.0	15
57	155.694378718	1.09381220669	1.0	15
58	111.721065127	0.714323553191	1.0	15
59	120.031896814	1.09904444408	1.0	15
60	91.1012992982	0.0751071060377	0.0	15
61	99.2349261784	0.481286843043	0.0	15
62	133.809388597	1.01144834537	1.0	15
63	165.624627937	1.03004779235	1.0	15
64	53.6754770408	-0.00805647733377	0.0	15
65	198.544512928	1.11567200689	1.0	15
66	164.123481514	1.04375357807	1.0	15
67	75.6580148074	0.0476201197544	0.0	15
68	81.0616521758	-0.0651127186839	0.0	15
69	124.611376279	1.11593227633	1.0	15
70	115.924877505	0.937207958719	1.0	15
71	238.739222455	1.00667526186	1.0	15
72	171.830058336	0.950430617922	1.0	15
73	106.906603885	1.05124867483	1.0	15
74	126.388162989	1.01848538453	1.0	15
75	104.782299981	0.693717264848	1.0	15
76	111.994913212	0.728236466744	1.0	15
77	74.0672363937	-0.0716728807213	0.0	15
78	219.155255871	1.02498927017	1.0	15
79	154.086695432	0.944859338512	1.0	15
80	94.2792540082	0.319551670424	0.0	15
81	65.6992094833	0.00162499552132	0.0	15
82	78.2458467036	0.0862134285849	0.0	15
83	138.882775111	1.26115836271	1.0	15
84	117.492829158	1.0453795903	1.0	15
85	109.257584478	0.705411743102	1.0	15
86	113.260145035	0.843275586513	1.0	15
87	106.035420748	0.902058453428	1.0	15
88	96.2169053135	0.282342839141	0.0	15
89	119.365015095	0.928391433684	1.0	15
90	112.713104442	0.880853592728	1.0	15
91	175.926015873	0.997102688126	1.0	15
92	50.4646030643	-0.0504676542712	0.0	15
93	135.00410481	1.08070973335	1.0	15
94	97.6376767354	0.460474818482	0.0	15
95	44.5036971043	-0.0922227162909	0.0	15
96	159.617755779	1.03352083325	1.0	15
97	82.3610392264	0.0319359765114	0.0	15
98	144.045484483	1.00736507753	1.0	15
99	85.3010714334	0.195772806366	0.0	15
100	62.5929344033	0.00640701722427	0.0	15
101	88.2358984716	0.231309677124	0.0	15
102	63.5624524145	-0.0330992531889	0.0	15
103	37.8039239387	0.0210081131069	0.0	15
104	174.066292358	1.13622188258	1.0	15
105	76.0607376351	0.00285014290809	0.0	15
106	112.469769171	0.913827287736	1.0	15
107	95.0144201985	0.388204882921	0.0	15
108	129.752778248	1.06056391299	1.0	15
109	87.1819727754	0.187926294119	0.0	15
110	83.0108091975	-0.0706929937554	0.0	15
111	97.905630281	0.430538500017	0.0	15
112	179.465113755	1.02771288859	1.0	15
113	101.527966174	0.568226777982	1.0	15
114	157.71251881	0.993663499107	1.0	15
115	94.852578238	0.353079023939	0.0	15
116	185.065777207	0.95197056426	1.0	15
117	89.5101637234	0.189035043994	0.0	15
118	139.135882456	1.06748274081	1.0	15
119	72.7291226807	0.0377976377454	0.0	15
120	65.7540710156	0.0900846785397	0.0	15
121	158.326480965	1.04811242837	1.0	15
122	147.33725102	0.897418008156	1.0	15
123	73.0479710224	-0.23881057128	0.0	15
124	113.409463057	0.769849091905	1.0	15
125	92.3184610718	0.286194117568	0.0	15
126	69.047410075	0.0676845423912	0.0	15
127	113.856725084	1.14592895384	1.0	15
128	112.76694548	0.903789363011	1.0	15
129	53.2234950756	-0.0159800651274	0.0	15
130	105.081200471	0.536663580493	1.0	15
131	70.4226480021	0.00887348642249	0.0	15
132	90.2832656111	0.0830753549779	0.0	15
133	144.747547461	1.01748026558	1.0	15
134	123.772318833	0.920630978676	1.0	15
135	113.601843698	0.85959553584	1.0	15
136	131.472376257	1.23203041089	1.0	15
137	89.4129958526	0.165659752486	0.0	15
138	53.6550435654	-0.0399992398857	0.0	15
139	156.847607954	0.938185167636	1.0	15
140	79.6063059233	-0.514176316094	0.0	15
141	137.481476872	1.0633833772	1.0	15
142	70.2961170828	0.0575519360773	0.0	15
143	106.8026146	1.02813911304	1.0	15
144	136.884096673	1.16543808073	1.0	15
145	42.2852783596	0.0236412857049	0.0	15
146	147.745284246	1.02315924251	1.0	15
147	108.886093233	0.924153967703	1.0	15
148	110.959714008	0.846330373972	1.0	15
149	57.2252708221	-0.0528102733292	0.0	15
150	88.619376506	0.0872109541807	0.0	15
151	105.455468585	0.800400426491	1.0	15
152	51.7331161787	0.037916958491	0.0	15
153	113.722292601	0.802126924733	1.0	15
154	103.869341293	0.504155891188	1.0	15
155	159.84728491	0.970464264178	1.0	15
156	88.6223300033	0.133035890006	0.0	15
157	85.6665631712	-0.0414492548435	0.0	15
